image #,x,y,a
1,2184.5 px,1400.5 px,7.186
1,1814 px,1581 px,-6.206
1,1808.5 px,1047.5 px,-8.829
1,1455 px,1210 px,0.360
1,2046.5 px,1419.5 px,-3.608
1,1569.5 px,1418.5 px,5.776
1,2185 px,1200.5 px,-5.208
1,1862.5 px,1039.5 px,-18.286
1,1710.5 px,1213.5 px,4.176
1,2190 px,1448.5 px,-15.316
1,1830 px,1476.5 px,2.794
1,2042 px,1366.5 px,-0.015
1,1138 px,-152 px,-2.511
1,1458.5 px,-172 px,4.054
1,1735.5 px,106 px,-12.992
1,1559.5 px,262 px,9.470
1,1654 px,535 px,8.088
1,1060.5 px,67.5 px,-11.391
1,1349 px,436.5 px,-0.742
1,967 px,547 px,8.447
1,1242 px,628.5 px,-8.599
1,1427 px,-17 px,13.863
1,1496 px,257.5 px,12.481
1,1115.5 px,403 px,-0.911
1,1159 px,-128.5 px,-3.535
1,787.5 px,0 px,5.654
1,1362 px,263 px,1.687
1,879.5 px,217.5 px,11.071
1,1305.5 px,-327.5 px,-5.135
1,936.5 px,-407.5 px,4.054
1,1520 px,58.5 px,0.087
1,1213.5 px,-130 px,-12.992
1,1037 px,26.5 px,9.470
1,1502 px,307.5 px,-10.022
1,1132 px,299.5 px,8.088
1,1357.5 px,209.5 px,5.280
1,1151 px,215.5 px,-7.806
1,1470.5 px,165.5 px,-1.241
1,1769.5 px,415 px,-18.286
1,1617.5 px,588.5 px,4.176
1,1737 px,851.5 px,2.794
1,1094.5 px,439 px,-16.686
1,1416 px,782 px,-6.036
1,1054 px,927 px,3.152
1,1326.5 px,981 px,-13.893
1,1453.5 px,323.5 px,8.569
1,1550.5 px,590 px,7.186
1,1180 px,770 px,-6.206
1,1173.5 px,236.5 px,-8.829
1,820.5 px,399 px,0.360
1,1412.5 px,608 px,-3.608
1,935.5 px,607.5 px,5.776
1,1550.5 px,389.5 px,-5.208
1,1228.5 px,228.5 px,-18.286
1,1076.5 px,402.5 px,4.176
1,1555.5 px,637.5 px,-15.316
1,1195 px,665.5 px,2.794
1,1407 px,555.5 px,-0.015
1,-93 px,903 px,-2.511
1,227.5 px,883 px,4.054
1,504.5 px,1161 px,-12.992
1,328.5 px,1317 px,9.470
1,423 px,1590 px,8.088
1,-170.5 px,1122.5 px,-11.391
1,118 px,1491.5 px,-0.742
1,-264 px,1602 px,8.447
1,11 px,1683.5 px,-8.599
1,196 px,1038 px,13.863
1,265 px,1312.5 px,12.481
1,-115.5 px,1458 px,-0.911
1,-72 px,926.5 px,-3.535
1,-443.5 px,1055 px,5.654
1,131 px,1318 px,1.687
1,-351.5 px,1272.5 px,11.071
1,74.5 px,727.5 px,-5.135
1,-294.5 px,647.5 px,4.054
1,289 px,1113.5 px,0.087
1,-17.5 px,925 px,-12.992
1,-194 px,1081.5 px,9.470
1,271 px,1362.5 px,-10.022
1,-99 px,1354.5 px,8.088
1,126.5 px,1264.5 px,5.280
1,-80 px,1270.5 px,-7.806
1,239.5 px,1220.5 px,-1.241
1,538.5 px,1470 px,-18.286
1,386.5 px,1643.5 px,4.176
1,506 px,1906.5 px,2.794
1,-136.5 px,1494 px,-16.686
1,185 px,1837 px,-6.036
1,-177 px,1982 px,3.152
1,95.5 px,2036 px,-13.893
1,222.5 px,1378.5 px,8.569
1,319.5 px,1645 px,7.186
1,-51 px,1825 px,-6.206
1,-57.5 px,1291.5 px,-8.829
1,-410.5 px,1454 px,0.360
1,181.5 px,1663 px,-3.608
1,-295.5 px,1662.5 px,5.776
1,319.5 px,1444.5 px,-5.208
1,-2.5 px,1283.5 px,-18.286
1,-154.5 px,1457.5 px,4.176
1,324.5 px,1692.5 px,-15.316
1,-36 px,1720.5 px,2.794
1,176 px,1610.5 px,-0.015
1,980.5 px,207 px,-2.511
1,1300.5 px,187 px,4.054
1,1577.5 px,465 px,-12.992
1,1402 px,621.5 px,9.470
1,1496.5 px,894 px,8.088
1,903.5 px,426.5 px,-11.391
1,1192 px,795.5 px,-0.742
1,809.5 px,905.5 px,8.447
1,1084.5 px,987.5 px,-8.599
1,1269 px,342 px,13.863
1,1339 px,616.5 px,12.481
1,958 px,762 px,-0.911
1,1001.5 px,230.5 px,-3.535
1,629.5 px,359 px,5.654
1,1204.5 px,622 px,1.687
1,722.5 px,577 px,11.071
1,1148.5 px,31 px,-5.135
1,779 px,-48.5 px,4.054
1,1362.5 px,417.5 px,0.087
1,1055.5 px,229 px,-12.992
1,880 px,385.5 px,9.470
1,1344 px,666.5 px,-10.022
1,974.5 px,658.5 px,8.088
1,1200 px,568.5 px,5.280
1,993.5 px,574.5 px,-7.806
1,1313 px,524.5 px,-1.241
1,1612.5 px,773.5 px,-18.286
1,1460.5 px,947.5 px,4.176
1,1579 px,1210.5 px,2.794
1,937 px,798 px,-16.686
1,1258 px,1141 px,-6.036
1,896 px,1286 px,3.152
1,1168.5 px,1340 px,-13.893
1,1296 px,682.5 px,8.569
1,1392.5 px,948.5 px,7.186
1,1022 px,1129 px,-6.206
1,1016.5 px,595.5 px,-8.829
1,663 px,758 px,0.360
1,1254.5 px,967.5 px,-3.608
1,777.5 px,966.5 px,5.776
1,1393 px,748.5 px,-5.208
1,1070.5 px,587.5 px,-18.286
1,918.5 px,761.5 px,4.176
1,1398 px,996.5 px,-15.316
1,1038 px,1024.5 px,2.794
1,1250 px,914.5 px,-0.015
1,446.5 px,321 px,5.654
1,406.5 px,781.5 px,-5.115
1,719.5 px,388.5 px,-11.391
1,538.5 px,538.5 px,11.071
1,-62 px,476 px,1.881
1,7 px,-52.5 px,-0.742
1,188.5 px,348.5 px,4.479
1,-100 px,139.5 px,-8.599
1,154 px,597 px,-5.629
1,4.5 px,638.5 px,9.673
1,595.5 px,-86.5 px,4.054
1,696 px,347.5 px,9.470
1,-128 px,783.5 px,4.054
1,493.5 px,760 px,5.654
1,643 px,352.5 px,4.054
1,210 px,-203 px,-2.511
1,530.5 px,-223 px,4.054
1,631.5 px,211 px,9.470
1,726 px,484 px,8.088
1,132.5 px,16.5 px,-11.391
1,421 px,385.5 px,-0.742
1,39 px,496 px,8.447
1,314 px,577.5 px,-8.599
1,499 px,-68 px,13.863
1,568 px,206.5 px,12.481
1,187.5 px,352 px,-0.911
1,231 px,-179.5 px,-3.535
1,-140.5 px,-51 px,5.654
1,434 px,212 px,1.687
1,-48.5 px,166.5 px,11.071
1,592 px,7.5 px,0.087
1,285.5 px,-181 px,-12.992
1,109 px,-24.5 px,9.470
1,574 px,256.5 px,-10.022
1,204 px,248.5 px,8.088
1,429.5 px,158.5 px,5.280
1,223 px,164.5 px,-7.806
1,542.5 px,114.5 px,-1.241
1,689.5 px,537.5 px,4.176
1,166.5 px,388 px,-16.686
1,488 px,731 px,-6.036
1,525.5 px,272.5 px,8.569
1,622.5 px,539 px,7.186
1,252 px,719 px,-6.206
1,245.5 px,185.5 px,-8.829
1,-107.5 px,348 px,0.360
1,484.5 px,557 px,-3.608
1,7.5 px,556.5 px,5.776
1,622.5 px,338.5 px,-5.208
1,300.5 px,177.5 px,-18.286
1,148.5 px,351.5 px,4.176
1,627.5 px,586.5 px,-15.316
1,267 px,614.5 px,2.794
1,479 px,504.5 px,-0.015
1,52.5 px,156 px,-2.511
1,372.5 px,136 px,4.054
1,649.5 px,414 px,-12.992
1,474 px,570.5 px,9.470
1,-24.5 px,375.5 px,-11.391
1,264 px,744.5 px,-0.742
1,341 px,291 px,13.863
1,411 px,565.5 px,12.481
1,30 px,711 px,-0.911
1,73.5 px,179.5 px,-3.535
1,276.5 px,571 px,1.687
1,220.5 px,-20 px,-5.135
1,-149 px,-99.5 px,4.054
1,434.5 px,366.5 px,0.087
1,127.5 px,178 px,-12.992
1,-48 px,334.5 px,9.470
1,416 px,615.5 px,-10.022
1,46.5 px,607.5 px,8.088
1,272 px,517.5 px,5.280
1,65.5 px,523.5 px,-7.806
1,385 px,473.5 px,-1.241
1,684.5 px,722.5 px,-18.286
1,9 px,747 px,-16.686
1,368 px,631.5 px,8.569
1,88.5 px,544.5 px,-8.829
1,465 px,697.5 px,-5.208
1,142.5 px,536.5 px,-18.286
1,-9.5 px,710.5 px,4.176
1,1967.5 px,325 px,5.654
1,1927.5 px,785.5 px,-5.115
1,2240.5 px,392.5 px,-11.391
1,2059.5 px,542.5 px,11.071
1,1459 px,480 px,1.881
1,1528 px,-48.5 px,-0.742
1,1709.5 px,352.5 px,4.479
1,1421 px,143.5 px,-8.599
1,1675 px,601 px,-5.629
1,1525.5 px,642.5 px,9.673
1,2116.5 px,-82.5 px,4.054
1,2217 px,351.5 px,9.470
1,1393 px,787.5 px,4.054
1,2014.5 px,764 px,5.654
1,2164 px,356.5 px,4.054
1,1731 px,-199 px,-2.511
1,2051.5 px,-219 px,4.054
1,2152.5 px,215 px,9.470
1,2247 px,488 px,8.088
1,1653.5 px,20.5 px,-11.391
1,1942 px,389.5 px,-0.742
1,1560 px,500 px,8.447
1,1835 px,581.5 px,-8.599
1,2020 px,-64 px,13.863
1,2089 px,210.5 px,12.481
1,1708.5 px,356 px,-0.911
1,1752 px,-175.5 px,-3.535
1,1380.5 px,-47 px,5.654
1,1955 px,216 px,1.687
1,1472.5 px,170.5 px,11.071
1,2113 px,11.5 px,0.087
1,1806.5 px,-177 px,-12.992
1,1630 px,-20.5 px,9.470
1,2095 px,260.5 px,-10.022
1,1725 px,252.5 px,8.088
1,1950.5 px,162.5 px,5.280
1,1744 px,168.5 px,-7.806
1,2063.5 px,118.5 px,-1.241
1,2210.5 px,541.5 px,4.176
1,1687.5 px,392 px,-16.686
1,2009 px,735 px,-6.036
1,2046.5 px,276.5 px,8.569
1,2143.5 px,543 px,7.186
1,1773 px,723 px,-6.206
1,1766.5 px,189.5 px,-8.829
1,1413.5 px,352 px,0.360
1,2005.5 px,561 px,-3.608
1,1528.5 px,560.5 px,5.776
1,2143.5 px,342.5 px,-5.208
1,1821.5 px,181.5 px,-18.286
1,1669.5 px,355.5 px,4.176
1,2148.5 px,590.5 px,-15.316
1,1788 px,618.5 px,2.794
1,2000 px,508.5 px,-0.015
1,1573.5 px,160 px,-2.511
1,1893.5 px,140 px,4.054
1,2170.5 px,418 px,-12.992
1,1995 px,574.5 px,9.470
1,1496.5 px,379.5 px,-11.391
1,1785 px,748.5 px,-0.742
1,1862 px,295 px,13.863
1,1932 px,569.5 px,12.481
1,1551 px,715 px,-0.911
1,1594.5 px,183.5 px,-3.535
1,1797.5 px,575 px,1.687
1,1741.5 px,-16 px,-5.135
1,1372 px,-95.5 px,4.054
1,1955.5 px,370.5 px,0.087
1,1648.5 px,182 px,-12.992
1,1473 px,338.5 px,9.470
1,1937 px,619.5 px,-10.022
1,1567.5 px,611.5 px,8.088
1,1793 px,521.5 px,5.280
1,1586.5 px,527.5 px,-7.806
1,1906 px,477.5 px,-1.241
1,2205.5 px,726.5 px,-18.286
1,1530 px,751 px,-16.686
1,1889 px,635.5 px,8.569
1,1609.5 px,548.5 px,-8.829
1,1986 px,701.5 px,-5.208
1,1663.5 px,540.5 px,-18.286
1,1511.5 px,714.5 px,4.176
1,595.5 px,2174 px,5.654
1,556.5 px,2634.5 px,-5.115
1,869.5 px,2241.5 px,-11.391
1,688.5 px,2392 px,11.071
1,87.5 px,2329 px,1.881
1,157 px,1800.5 px,-0.742
1,337.5 px,2202 px,4.479
1,49.5 px,1992.5 px,-8.599
1,303.5 px,2450 px,-5.629
1,154 px,2491.5 px,9.673
1,745 px,1766.5 px,4.054
1,846 px,2200.5 px,9.470
1,21.5 px,2636.5 px,4.054
1,643.5 px,2613 px,5.654
1,792.5 px,2205.5 px,4.054
1,359.5 px,1650 px,-2.511
1,679.5 px,1630 px,4.054
1,781 px,2064.5 px,9.470
1,875.5 px,2337 px,8.088
1,282.5 px,1869.5 px,-11.391
1,571 px,2238.5 px,-0.742
1,188.5 px,2348.5 px,8.447
1,463.5 px,2430.5 px,-8.599
1,648 px,1785 px,13.863
1,718 px,2059.5 px,12.481
1,337 px,2205 px,-0.911
1,380.5 px,1673.5 px,-3.535
1,8.5 px,1802 px,5.654
1,583.5 px,2065 px,1.687
1,101.5 px,2020 px,11.071
1,741.5 px,1860.5 px,0.087
1,434.5 px,1672 px,-12.992
1,259 px,1828.5 px,9.470
1,723 px,2109.5 px,-10.022
1,353.5 px,2101.5 px,8.088
1,579 px,2011.5 px,5.280
1,372.5 px,2017.5 px,-7.806
1,692 px,1967.5 px,-1.241
1,839.5 px,2390.5 px,4.176
1,316 px,2241 px,-16.686
1,637 px,2584 px,-6.036
1,675 px,2125.5 px,8.569
1,771.5 px,2391.5 px,7.186
1,401 px,2572 px,-6.206
1,395.5 px,2038.5 px,-8.829
1,42 px,2201 px,0.360
1,633.5 px,2410.5 px,-3.608
1,156.5 px,2409.5 px,5.776
1,772 px,2191.5 px,-5.208
1,449.5 px,2030.5 px,-18.286
1,297.5 px,2204.5 px,4.176
1,777 px,2439.5 px,-15.316
1,417 px,2467.5 px,2.794
1,629 px,2357.5 px,-0.015
1,202 px,2009 px,-2.511
1,522.5 px,1989 px,4.054
1,799.5 px,2267 px,-12.992
1,623.5 px,2423 px,9.470
1,124.5 px,2228.5 px,-11.391
1,413 px,2597.5 px,-0.742
1,491 px,2144 px,13.863
1,560 px,2418.5 px,12.481
1,179.5 px,2564 px,-0.911
1,223 px,2032.5 px,-3.535
1,426 px,2424 px,1.687
1,369.5 px,1833.5 px,-5.135
1,0.5 px,1753.5 px,4.054
1,584 px,2219.5 px,0.087
1,277.5 px,2031 px,-12.992
1,101 px,2187.5 px,9.470
1,566 px,2468.5 px,-10.022
1,196 px,2460.5 px,8.088
1,421.5 px,2370.5 px,5.280
1,215 px,2376.5 px,-7.806
1,534.5 px,2326.5 px,-1.241
1,833.5 px,2576 px,-18.286
1,158.5 px,2600 px,-16.686
1,517.5 px,2484.5 px,8.569
1,237.5 px,2397.5 px,-8.829
1,614.5 px,2550.5 px,-5.208
1,292.5 px,2389.5 px,-18.286
1,140.5 px,2563.5 px,4.176
1,660.5 px,1114.5 px,5.654
1,620.5 px,1575.5 px,-5.115
1,934 px,1182 px,-11.391
1,752.5 px,1332.5 px,11.071
1,152 px,1270 px,1.881
1,221 px,741 px,-0.742
1,402.5 px,1142.5 px,4.479
1,114 px,933.5 px,-8.599
1,368 px,1390.5 px,-5.629
1,218 px,1432.5 px,9.673
1,809.5 px,707 px,4.054
1,910.5 px,1141 px,9.470
1,85.5 px,1577 px,4.054
1,707.5 px,1553.5 px,5.654
1,856.5 px,1146 px,4.054
1,424 px,590.5 px,-2.511
1,744.5 px,570.5 px,4.054
1,845 px,1004.5 px,9.470
1,940 px,1277.5 px,8.088
1,347 px,810 px,-11.391
1,635 px,1179 px,-0.742
1,253 px,1289.5 px,8.447
1,528 px,1371.5 px,-8.599
1,713 px,725.5 px,13.863
1,782 px,1000 px,12.481
1,401.5 px,1145.5 px,-0.911
1,445 px,614 px,-3.535
1,73.5 px,742.5 px,5.654
1,648 px,1006 px,1.687
1,165.5 px,960.5 px,11.071
1,806 px,801.5 px,0.087
1,499.5 px,613 px,-12.992
1,323.5 px,769 px,9.470
1,788 px,1050.5 px,-10.022
1,418 px,1042 px,8.088
1,643.5 px,952 px,5.280
1,437 px,957.5 px,-7.806
1,756.5 px,908 px,-1.241
1,903.5 px,1331 px,4.176
1,381 px,1181 px,-16.686
1,702 px,1524 px,-6.036
1,739.5 px,1066 px,8.569
1,836 px,1332 px,7.186
1,466 px,1512 px,-6.206
1,459.5 px,978.5 px,-8.829
1,106.5 px,1141 px,0.360
1,698.5 px,1350.5 px,-3.608
1,221.5 px,1350 px,5.776
1,836.5 px,1132 px,-5.208
1,514.5 px,971 px,-18.286
1,362.5 px,1144.5 px,4.176
1,842 px,1380 px,-15.316
1,481 px,1408 px,2.794
1,693 px,1297.5 px,-0.015
1,266.5 px,949.5 px,-2.511
1,587 px,929.5 px,4.054
1,863.5 px,1207 px,-12.992
1,688 px,1363.5 px,9.470
1,189.5 px,1169 px,-11.391
1,478 px,1538 px,-0.742
1,555 px,1085 px,13.863
1,625 px,1358.5 px,12.481
1,244 px,1504.5 px,-0.911
1,287.5 px,973 px,-3.535
